Date,Predicted_Temperature_C
2023-12-27 03:00:00,11.124703
2023-12-27 06:00:00,10.269596
2023-12-27 09:00:00,11.845749
2023-12-27 12:00:00,12.379662
2023-12-27 15:00:00,12.428368
2023-12-27 18:00:00,12.428483
2023-12-27 21:00:00,8.861923
2023-12-28 00:00:00,12.443861
2023-12-28 03:00:00,11.650027
2023-12-28 06:00:00,10.368084
2023-12-28 09:00:00,13.421781
2023-12-28 12:00:00,13.262586
2023-12-28 15:00:00,13.759397
2023-12-28 18:00:00,12.654061
2023-12-28 21:00:00,13.042296
2023-12-29 00:00:00,13.797429
2023-12-29 03:00:00,13.157726
2023-12-29 06:00:00,12.2409315
2023-12-29 09:00:00,12.507328
2023-12-29 12:00:00,15.307954
2023-12-29 15:00:00,14.274925
2023-12-29 18:00:00,12.007952
2023-12-29 21:00:00,11.274669
2023-12-30 00:00:00,13.388358
